pincode,district,state
530058,"VISAKHAPATANAM","ANDHRA PRADESH"
530059,"VISAKHAPATANAM","ANDHRA PRADESH"
532167,"SRIKAKULAM","ANDHRA PRADESH"
532184,"NA","NA"
532204,"SRIKAKULAM","ANDHRA PRADESH"
532207,"SRIKAKULAM","ANDHRA PRADESH"
533108,"EAST GODAVARI","ANDHRA PRADESH"
533219,"Konaseema","ANDHRA PRADESH"
533350,"Alluri Sitharama Raju","ANDHRA PRADESH"
533460,"Kakinada","ANDHRA PRADESH"
534008,"Eluru","ANDHRA PRADESH"
535569,"VIZIANAGARAM","ANDHRA PRADESH"
560119,"BENGALURU URBAN","KARNATAKA"
562166,"RAMANAGARA","KARNATAKA"
571190,"MYSURU","KARNATAKA"
571202,"KODAGU","KARNATAKA"
574162,"DAKSHINA KANNADA","KARNATAKA"
577008,"DAVANGERE","KARNATAKA"
583286,"KOPPAL","KARNATAKA"
583288,"KOPPAL","KARNATAKA"
585446,"BIDAR","KARNATAKA"
585448,"BIDAR","KARNATAKA"
586162,"VIJAYAPURA","KARNATAKA"
586170,"VIJAYAPURA","KARNATAKA"
587157,"BAGALKOT","KARNATAKA"
590100,"NA","NA"
600133,"THIRUVALLUR","TAMIL NADU"
600200,"NA","NA"
600201,"NA","NA"
600202,"NA","NA"
602118,"KANCHIPURAM","TAMIL NADU"
604411,"TIRUVANNAMALAI","TAMIL NADU"
605012,"NA","NA"
612906,"KOZHIKODE","KERALA"
621119,"PERAMBALUR","TAMIL NADU"
625552,"THENI","TAMIL NADU"
628155,"TUTICORIN","TAMIL NADU"
636907,"DHARMAPURI","TAMIL NADU"
637216,"NAMAKKAL","TAMIL NADU"
641051,"COIMBATORE","TAMIL NADU"
641063,"COIMBATORE","TAMIL NADU"
671325,"KASARAGOD","KERALA"
680051,"THRISSUR","KERALA"
682053,"NA","NA"
683051,"NA","NA"
688051,"NA","NA"
688563,"ALAPPUZHA","KERALA"
690112,"ALAPPUZHA","KERALA"
691051,"NA","NA"
695521,"THIRUVANANTHAPURAM","KERALA"
695522,"THIRUVANANTHAPURAM","KERALA"
695523,"THIRUVANANTHAPURAM","KERALA"
695524,"THIRUVANANTHAPURAM","KERALA"
695525,"THIRUVANANTHAPURAM","KERALA"
695526,"THIRUVANANTHAPURAM","KERALA"
695527,"THIRUVANANTHAPURAM","KERALA"
695528,"THIRUVANANTHAPURAM","KERALA"
695541,"THIRUVANANTHAPURAM","KERALA"
695542,"THIRUVANANTHAPURAM","KERALA"
695543,"THIRUVANANTHAPURAM","KERALA"
695547,"THIRUVANANTHAPURAM","KERALA"
695551,"THIRUVANANTHAPURAM","KERALA"
695561,"THIRUVANANTHAPURAM","KERALA"
695562,"THIRUVANANTHAPURAM","KERALA"
695563,"THIRUVANANTHAPURAM","KERALA"
695564,"THIRUVANANTHAPURAM","KERALA"
695568,"THIRUVANANTHAPURAM","KERALA"
695570,"THIRUVANANTHAPURAM","KERALA"
695571,"THIRUVANANTHAPURAM","KERALA"
695572,"THIRUVANANTHAPURAM","KERALA"
695573,"THIRUVANANTHAPURAM","KERALA"
695574,"THIRUVANANTHAPURAM","KERALA"
695575,"THIRUVANANTHAPURAM","KERALA"
695581,"NA","NA"
695582,"THIRUVANANTHAPURAM","KERALA"
695583,"THIRUVANANTHAPURAM","KERALA"
695584,"THIRUVANANTHAPURAM","KERALA"
695585,"THIRUVANANTHAPURAM","KERALA"
695586,"THIRUVANANTHAPURAM","KERALA"
695587,"THIRUVANANTHAPURAM","KERALA"
695588,"THIRUVANANTHAPURAM","KERALA"
695589,"THIRUVANANTHAPURAM","KERALA"
695601,"THIRUVANANTHAPURAM","KERALA"
695602,"THIRUVANANTHAPURAM","KERALA"
695603,"THIRUVANANTHAPURAM","KERALA"
695604,"THIRUVANANTHAPURAM","KERALA"
695605,"THIRUVANANTHAPURAM","KERALA"
695606,"THIRUVANANTHAPURAM","KERALA"
695607,"THIRUVANANTHAPURAM","KERALA"
695608,"THIRUVANANTHAPURAM","KERALA"
695609,"THIRUVANANTHAPURAM","KERALA"
695610,"THIRUVANANTHAPURAM","KERALA"
695611,"THIRUVANANTHAPURAM","KERALA"
695612,"THIRUVANANTHAPURAM","KERALA"
695614,"THIRUVANANTHAPURAM","KERALA"
695615,"THIRUVANANTHAPURAM","KERALA"
700001,"KOLKATA","WEST BENGAL"
700002,"KOLKATA","WEST BENGAL"
700003,"KOLKATA","WEST BENGAL"
700004,"KOLKATA","WEST BENGAL"
700005,"KOLKATA","WEST BENGAL"
700006,"KOLKATA","WEST BENGAL"
700007,"KOLKATA","WEST BENGAL"
700008,"KOLKATA","WEST BENGAL"
700009,"KOLKATA","WEST BENGAL"
700010,"KOLKATA","WEST BENGAL"
700011,"KOLKATA","WEST BENGAL"
700012,"KOLKATA","WEST BENGAL"
700013,"KOLKATA","WEST BENGAL"
700014,"KOLKATA","WEST BENGAL"
700015,"KOLKATA","WEST BENGAL"
700016,"KOLKATA","WEST BENGAL"
700017,"KOLKATA","WEST BENGAL"
700018,"KOLKATA","WEST BENGAL"
700019,"KOLKATA","WEST BENGAL"
700020,"KOLKATA","WEST BENGAL"
700021,"KOLKATA","WEST BENGAL"
700022,"KOLKATA","WEST BENGAL"
700023,"KOLKATA","WEST BENGAL"
700024,"KOLKATA","WEST BENGAL"
700025,"KOLKATA","WEST BENGAL"
700026,"KOLKATA","WEST BENGAL"
700027,"KOLKATA","WEST BENGAL"
700028,"24 PARAGANAS NORTH","WEST BENGAL"
700029,"KOLKATA","WEST BENGAL"
700030,"KOLKATA","WEST BENGAL"
700031,"KOLKATA","WEST BENGAL"
700032,"KOLKATA","WEST BENGAL"
700033,"KOLKATA","WEST BENGAL"
700034,"KOLKATA","WEST BENGAL"
700035,"24 PARAGANAS NORTH","WEST BENGAL"
700036,"24 PARAGANAS NORTH","WEST BENGAL"
700037,"KOLKATA","WEST BENGAL"
700038,"KOLKATA","WEST BENGAL"
700039,"KOLKATA","WEST BENGAL"
700040,"KOLKATA","WEST BENGAL"
700041,"KOLKATA","WEST BENGAL"
700042,"KOLKATA","WEST BENGAL"
700043,"KOLKATA","WEST BENGAL"
700044,"KOLKATA","WEST BENGAL"
700045,"KOLKATA","WEST BENGAL"
700046,"KOLKATA","WEST BENGAL"
700047,"KOLKATA","WEST BENGAL"
700048,"24 PARAGANAS NORTH","WEST BENGAL"
700049,"24 PARAGANAS NORTH","WEST BENGAL"
700050,"KOLKATA","WEST BENGAL"
700051,"24 PARAGANAS NORTH","WEST BENGAL"
700052,"24 PARAGANAS NORTH","WEST BENGAL"
700053,"KOLKATA","WEST BENGAL"
700054,"KOLKATA","WEST BENGAL"
700055,"24 PARAGANAS NORTH","WEST BENGAL"
700056,"24 PARAGANAS NORTH","WEST BENGAL"
700057,"24 PARAGANAS NORTH","WEST BENGAL"
700058,"24 PARAGANAS NORTH","WEST BENGAL"
700059,"24 PARAGANAS NORTH","WEST BENGAL"
700060,"KOLKATA","WEST BENGAL"
700061,"KOLKATA","WEST BENGAL"
700062,"KOLKATA","WEST BENGAL"
700063,"KOLKATA","WEST BENGAL"
700064,"24 PARAGANAS NORTH","WEST BENGAL"
700065,"24 PARAGANAS NORTH","WEST BENGAL"
700066,"KOLKATA","WEST BENGAL"
700067,"KOLKATA","WEST BENGAL"
700068,"KOLKATA","WEST BENGAL"
700069,"KOLKATA","WEST BENGAL"
700070,"KOLKATA","WEST BENGAL"
700071,"KOLKATA","WEST BENGAL"
700072,"KOLKATA","WEST BENGAL"
700073,"KOLKATA","WEST BENGAL"
700074,"24 PARAGANAS NORTH","WEST BENGAL"
700075,"KOLKATA","WEST BENGAL"
700076,"24 PARAGANAS NORTH","WEST BENGAL"
700077,"24 PARAGANAS NORTH","WEST BENGAL"
700078,"KOLKATA","WEST BENGAL"
700079,"24 PARAGANAS NORTH","WEST BENGAL"
700080,"24 PARAGANAS NORTH","WEST BENGAL"
700081,"24 PARAGANAS NORTH","WEST BENGAL"
700082,"KOLKATA","WEST BENGAL"
700083,"24 PARAGANAS NORTH","WEST BENGAL"
700084,"24 PARAGANAS SOUTH","WEST BENGAL"
700085,"KOLKATA","WEST BENGAL"
700086,"KOLKATA","WEST BENGAL"
700087,"KOLKATA","WEST BENGAL"
700088,"KOLKATA","WEST BENGAL"
700089,"24 PARAGANAS NORTH","WEST BENGAL"
700090,"24 PARAGANAS NORTH","WEST BENGAL"
700091,"24 PARAGANAS NORTH","WEST BENGAL"
700092,"KOLKATA","WEST BENGAL"
700093,"24 PARAGANAS SOUTH","WEST BENGAL"
700094,"KOLKATA","WEST BENGAL"
700095,"KOLKATA","WEST BENGAL"
700096,"24 PARAGANAS SOUTH","WEST BENGAL"
700097,"24 PARAGANAS NORTH","WEST BENGAL"
700099,"KOLKATA","WEST BENGAL"
700100,"KOLKATA","WEST BENGAL"
700101,"24 PARAGANAS NORTH","WEST BENGAL"
700102,"24 PARAGANAS NORTH","WEST BENGAL"
700103,"24 PARAGANAS SOUTH","WEST BENGAL"
700104,"24 PARAGANAS SOUTH","WEST BENGAL"
700105,"24 PARAGANAS NORTH","WEST BENGAL"
700106,"24 PARAGANAS NORTH","WEST BENGAL"
700107,"KOLKATA","WEST BENGAL"
700108,"24 PARAGANAS NORTH","WEST BENGAL"
700109,"24 PARAGANAS NORTH","WEST BENGAL"
700110,"24 PARAGANAS NORTH","WEST BENGAL"
700111,"24 PARAGANAS NORTH","WEST BENGAL"
700112,"24 PARAGANAS NORTH","WEST BENGAL"
700113,"24 PARAGANAS NORTH","WEST BENGAL"
700114,"24 PARAGANAS NORTH","WEST BENGAL"
700115,"24 PARAGANAS NORTH","WEST BENGAL"
700116,"24 PARAGANAS NORTH","WEST BENGAL"
700117,"24 PARAGANAS NORTH","WEST BENGAL"
700118,"24 PARAGANAS NORTH","WEST BENGAL"
700119,"24 PARAGANAS NORTH","WEST BENGAL"
700120,"24 PARAGANAS NORTH","WEST BENGAL"
700121,"24 PARAGANAS NORTH","WEST BENGAL"
700122,"24 PARAGANAS NORTH","WEST BENGAL"
700123,"24 PARAGANAS NORTH","WEST BENGAL"
700124,"24 PARAGANAS NORTH","WEST BENGAL"
700125,"24 PARAGANAS NORTH","WEST BENGAL"
700126,"24 PARAGANAS NORTH","WEST BENGAL"
700127,"24 PARAGANAS NORTH","WEST BENGAL"
700128,"24 PARAGANAS NORTH","WEST BENGAL"
700129,"24 PARAGANAS NORTH","WEST BENGAL"
700130,"24 PARAGANAS NORTH","WEST BENGAL"
700131,"24 PARAGANAS NORTH","WEST BENGAL"
700132,"24 PARAGANAS NORTH","WEST BENGAL"
700133,"24 PARAGANAS NORTH","WEST BENGAL"
700134,"24 PARAGANAS NORTH","WEST BENGAL"
700135,"24 PARAGANAS NORTH","WEST BENGAL"
700136,"24 PARAGANAS NORTH","WEST BENGAL"
700137,"24 PARAGANAS SOUTH","WEST BENGAL"
700138,"24 PARAGANAS SOUTH","WEST BENGAL"
700139,"24 PARAGANAS SOUTH","WEST BENGAL"
700140,"24 PARAGANAS SOUTH","WEST BENGAL"
700141,"24 PARAGANAS SOUTH","WEST BENGAL"
700142,"24 PARAGANAS SOUTH","WEST BENGAL"
700143,"24 PARAGANAS SOUTH","WEST BENGAL"
700144,"24 PARAGANAS SOUTH","WEST BENGAL"
700145,"24 PARAGANAS SOUTH","WEST BENGAL"
700146,"24 PARAGANAS SOUTH","WEST BENGAL"
700147,"24 PARAGANAS SOUTH","WEST BENGAL"
700148,"24 PARAGANAS SOUTH","WEST BENGAL"
700149,"24 PARAGANAS SOUTH","WEST BENGAL"
700150,"24 PARAGANAS SOUTH","WEST BENGAL"
700151,"24 PARAGANAS SOUTH","WEST BENGAL"
700152,"24 PARAGANAS SOUTH","WEST BENGAL"
700153,"24 PARAGANAS SOUTH","WEST BENGAL"
700154,"24 PARAGANAS SOUTH","WEST BENGAL"
700155,"24 PARAGANAS NORTH","WEST BENGAL"
700156,"24 PARAGANAS NORTH","WEST BENGAL"
700157,"24 PARAGANAS NORTH","WEST BENGAL"
700158,"24 PARAGANAS NORTH","WEST BENGAL"
700159,"24 PARAGANAS NORTH","WEST BENGAL"
700160,"24 PARAGANAS NORTH","WEST BENGAL"
700161,"24 PARAGANAS NORTH","WEST BENGAL"
700162,"24 PARAGANAS NORTH","WEST BENGAL"
700163,"24 PARAGANAS NORTH","WEST BENGAL"
711101,"HOWRAH","WEST BENGAL"
711102,"HOWRAH","WEST BENGAL"
711103,"HOWRAH","WEST BENGAL"
711104,"HOWRAH","WEST BENGAL"
711105,"HOWRAH","WEST BENGAL"
711106,"HOWRAH","WEST BENGAL"
711107,"HOWRAH","WEST BENGAL"
711108,"HOWRAH","WEST BENGAL"
711109,"HOWRAH","WEST BENGAL"
711110,"HOWRAH","WEST BENGAL"
711111,"HOWRAH","WEST BENGAL"
711112,"HOWRAH","WEST BENGAL"
711113,"HOWRAH","WEST BENGAL"
711114,"HOWRAH","WEST BENGAL"
711115,"HOWRAH","WEST BENGAL"
711201,"HOWRAH","WEST BENGAL"
711202,"HOWRAH","WEST BENGAL"
711203,"HOWRAH","WEST BENGAL"
711204,"HOWRAH","WEST BENGAL"
711205,"HOWRAH","WEST BENGAL"
711206,"HOWRAH","WEST BENGAL"
711225,"HOWRAH","WEST BENGAL"
711226,"HOWRAH","WEST BENGAL"
711227,"HOWRAH","WEST BENGAL"
711301,"HOWRAH","WEST BENGAL"
711302,"HOWRAH","WEST BENGAL"
711303,"HOWRAH","WEST BENGAL"
711304,"HOWRAH","WEST BENGAL"
711305,"HOWRAH","WEST BENGAL"
711306,"HOWRAH","WEST BENGAL"
711307,"HOWRAH","WEST BENGAL"
711308,"HOWRAH","WEST BENGAL"
711309,"HOWRAH","WEST BENGAL"
711310,"HOWRAH","WEST BENGAL"
711312,"HOWRAH","WEST BENGAL"
711313,"HOWRAH","WEST BENGAL"
711314,"HOWRAH","WEST BENGAL"
711315,"HOWRAH","WEST BENGAL"
711316,"HOWRAH","WEST BENGAL"
711317,"HOWRAH","WEST BENGAL"
711322,"HOWRAH","WEST BENGAL"
711331,"HOWRAH","WEST BENGAL"
711401,"HOWRAH","WEST BENGAL"
711403,"HOWRAH","WEST BENGAL"
711404,"HOWRAH","WEST BENGAL"
711405,"HOWRAH","WEST BENGAL"
711408,"HOWRAH","WEST BENGAL"
711409,"HOWRAH","WEST BENGAL"
711410,"HOWRAH","WEST BENGAL"
711411,"HOWRAH","WEST BENGAL"
711412,"HOWRAH","WEST BENGAL"
711413,"HOWRAH","WEST BENGAL"
711414,"HOWRAH","WEST BENGAL"
712101,"HOOGHLY","WEST BENGAL"
712102,"HOOGHLY","WEST BENGAL"
712103,"HOOGHLY","WEST BENGAL"
712104,"HOOGHLY","WEST BENGAL"
712105,"HOOGHLY","WEST BENGAL"
712121,"HOOGHLY","WEST BENGAL"
712122,"MEDINIPUR WEST","WEST BENGAL"
712123,"HOOGHLY","WEST BENGAL"
712124,"HOOGHLY","WEST BENGAL"
712125,"HOOGHLY","WEST BENGAL"
712134,"HOOGHLY","WEST BENGAL"
712135,"HOOGHLY","WEST BENGAL"
712136,"HOOGHLY","WEST BENGAL"
712137,"HOOGHLY","WEST BENGAL"
712138,"HOOGHLY","WEST BENGAL"
712139,"HOOGHLY","WEST BENGAL"
712146,"PURBA BARDHAMAN","WEST BENGAL"
712147,"HOOGHLY","WEST BENGAL"
712148,"HOOGHLY","WEST BENGAL"
712149,"HOOGHLY","WEST BENGAL"
712152,"HOOGHLY","WEST BENGAL"
712201,"HOOGHLY","WEST BENGAL"
712202,"HOOGHLY","WEST BENGAL"
712203,"HOOGHLY","WEST BENGAL"
712204,"HOOGHLY","WEST BENGAL"
712221,"HOOGHLY","WEST BENGAL"
712222,"HOOGHLY","WEST BENGAL"
712223,"HOOGHLY","WEST BENGAL"
712232,"HOOGHLY","WEST BENGAL"
712233,"HOOGHLY","WEST BENGAL"
712234,"HOOGHLY","WEST BENGAL"
712235,"HOOGHLY","WEST BENGAL"
712245,"HOOGHLY","WEST BENGAL"
712246,"HOOGHLY","WEST BENGAL"
712248,"HOOGHLY","WEST BENGAL"
712249,"HOOGHLY","WEST BENGAL"
712250,"HOOGHLY","WEST BENGAL"
712258,"HOOGHLY","WEST BENGAL"
712291,"NA","NA"
712301,"HOOGHLY","WEST BENGAL"
712302,"HOOGHLY","WEST BENGAL"
712303,"HOOGHLY","WEST BENGAL"
712304,"HOOGHLY","WEST BENGAL"
712305,"HOOGHLY","WEST BENGAL"
712306,"HOOGHLY","WEST BENGAL"
712308,"HOOGHLY","WEST BENGAL"
712310,"HOOGHLY","WEST BENGAL"
712311,"HOOGHLY","WEST BENGAL"
712401,"HOOGHLY","WEST BENGAL"
712402,"HOOGHLY","WEST BENGAL"
712403,"HOOGHLY","WEST BENGAL"
712404,"HOOGHLY","WEST BENGAL"
712405,"HOOGHLY","WEST BENGAL"
712406,"HOOGHLY","WEST BENGAL"
712407,"HOOGHLY","WEST BENGAL"
712408,"HOWRAH","WEST BENGAL"
712409,"HOOGHLY","WEST BENGAL"
712410,"HOOGHLY","WEST BENGAL"
712412,"HOOGHLY","WEST BENGAL"
712413,"HOOGHLY","WEST BENGAL"
712414,"HOOGHLY","WEST BENGAL"
712415,"HOOGHLY","WEST BENGAL"
712416,"HOOGHLY","WEST BENGAL"
712417,"HOOGHLY","WEST BENGAL"
712501,"HOOGHLY","WEST BENGAL"
712502,"HOOGHLY","WEST BENGAL"
712503,"HOOGHLY","WEST BENGAL"
712504,"HOOGHLY","WEST BENGAL"
712512,"HOOGHLY","WEST BENGAL"
712513,"HOOGHLY","WEST BENGAL"
712514,"HOOGHLY","WEST BENGAL"
712515,"HOOGHLY","WEST BENGAL"
712601,"HOOGHLY","WEST BENGAL"
712602,"HOOGHLY","WEST BENGAL"
712611,"HOOGHLY","WEST BENGAL"
712612,"HOOGHLY","WEST BENGAL"
712613,"HOOGHLY","WEST BENGAL"
712614,"HOOGHLY","WEST BENGAL"
712615,"HOOGHLY","WEST BENGAL"
712616,"HOOGHLY","WEST BENGAL"
712617,"HOOGHLY","WEST BENGAL"
712701,"HOOGHLY","WEST BENGAL"
712702,"HOOGHLY","WEST BENGAL"
712706,"HOOGHLY","WEST BENGAL"
713101,"PURBA BARDHAMAN","WEST BENGAL"
713102,"PURBA BARDHAMAN","WEST BENGAL"
713103,"PURBA BARDHAMAN","WEST BENGAL"
713104,"PURBA BARDHAMAN","WEST BENGAL"
713121,"PURBA BARDHAMAN","WEST BENGAL"
713122,"PURBA BARDHAMAN","WEST BENGAL"
713123,"PURBA BARDHAMAN","WEST BENGAL"
713124,"PURBA BARDHAMAN","WEST BENGAL"
713125,"PURBA BARDHAMAN","WEST BENGAL"
713126,"PURBA BARDHAMAN","WEST BENGAL"
713127,"PURBA BARDHAMAN","WEST BENGAL"
713128,"PURBA BARDHAMAN","WEST BENGAL"
713129,"PURBA BARDHAMAN","WEST BENGAL"
713130,"PURBA BARDHAMAN","WEST BENGAL"
713131,"PURBA BARDHAMAN","WEST BENGAL"
713132,"PURBA BARDHAMAN","WEST BENGAL"
713140,"PURBA BARDHAMAN","WEST BENGAL"
713141,"PURBA BARDHAMAN","WEST BENGAL"
713142,"PURBA BARDHAMAN","WEST BENGAL"
713143,"PURBA BARDHAMAN","WEST BENGAL"
713144,"PURBA BARDHAMAN","WEST BENGAL"
713145,"PURBA BARDHAMAN","WEST BENGAL"
