A R burla mahila mahavidylaya, A. R. Burla Mahila Mahavidyalaya, score:0.90625
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram Nagar Balika Vidhiya Mandir, score:0.9473684210526316
Ganesh Nagar Saraswati Balika Vidya, Ganesh Ram Nagar Saraswati Balika vidya, score:0.8974358974358975
GANESH RAM NAGAR SARAWATI BALIKA, Ganesh Ram Nagar Saraswati Balikr School, score:0.775
GANESH RAM NAGAR SARAWATI BALIKA, Ganesh Ram Nagar Saraswati school, score:0.7878787878787878
GANESH RAM NAGAR SARAWATI BALIKA, Ganesh Ram Nagar Saraswati shishu, score:0.7878787878787878
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram Nagar Sarswati Vindhya mandir, score:0.775
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram nagar  balika vidhya mandir, score:0.9210526315789473
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram nagar balika vidhya mandir, score:0.9459459459459459
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram nagar balika vidya mandir, score:0.9189189189189189
Ganesh Ram nagar swarwsti sishu mandir, Ganesh ram nagar saraswati Vidhya mandir, score:0.8
GANESH RAM NAGAR SARAWATI BALIKA, Ganesh ram nagar saraswati shishu balika, score:0.8
Ganesh Ram nagar swarwsti sishu mandir, Ganesh ram nagar saraswati vidya mandir, score:0.7948717948717949
Ganesh Ram nagar swarwsti sishu mandir, Ganesh ram nagar swaraswati  mandir, score:0.7894736842105263
Ganesh Ram nagar swarwsti sishu mandir, Ganesh ram nagar swaraswati vidya mandir, score:0.825
Ganesh ram nagar school, Ganesham Nagar school, score:0.9130434782608696
Ganesh Ramnagar, Ganeshram nagar, score:0.8666666666666667
GANESH RAM NAGAR SARAWATI BALIKA, Ganeshram nagar Saraswati Balika, score:0.9375
G.D.goenka International school, Ganga international school, score:0.7741935483870968
GGSSS, Gbsss, score:0.8
Geeta Bal Bharti Sr. Sec. School, Geeta bal bharti Sr sec school, score:0.9375
Gov. Sarvodaya vidyalaya, Government Sarvodaya Vidyalaya, score:0.7666666666666666
Goverment boys senior secondary school, Government boys' senior secondary school, score:0.95
Goverment boys senior secondary school, Government girls higher secondary school, score:0.75
Goverment boys senior secondary school, Government girls senior secondary school, score:0.875
Government high school, Government hoge school, score:0.9090909090909091
Government sarvodaya Bal vidyalayon, Government sarvodya kanya vidyaly, score:0.7714285714285715
GIRLS GOVERNMENT SENIOR SECONDERY SCHOOL, Government senior secondery school, score:0.85
GIRLS GOVERNMENT SENIOR SECONDERY SCHOOL, Government senior secondry School, score:0.825
Govd co-ed MIddle school east rohtash, Govt Co-ed MIddle school east rohtash, score:0.972972972972973
Goverment boys senior secondary school, Govt boys Senior Secondary School, score:0.868421052631579
Arya girls senior secondary school, Govt girl senior secondary school, score:0.8529411764705882
Arya girls senior secondary school, Govt girls senior secondary school, score:0.8823529411764706
Gov. Sarvodaya vidyalaya, Govt sarvodaya co-ed Vidyalaya, score:0.7666666666666666
Arya girls senior secondary school, Govt. Girls senior secondary school, score:0.8571428571428572
Govt sms collage Kolaras, Govt. S.M.S. college Kolaras, score:0.8214285714285714
Gov. Sarvodaya vidyalaya, Govt. Sarvodaya Kanya vidyalaya, score:0.7741935483870968
Gov. Sarvodaya vidyalaya, Govt. Sarvodya Bal Vidyalaya, score:0.8214285714285714
Govt H S School nachankheda, Govt.H.S.SChool Nachan Kheda, score:0.8571428571428572
Govt H S School nachankheda, Govt.H.S.school  Nachankheda, score:0.8571428571428572
GOVT SARVODAYA BAL VIDYALAYA NO.2, Govt.sarvodaya bal vidhyalaya, score:0.7878787878787878
Govt. Sarvodaya co-ed vidyalaya school, Govt.sarvodaya co-ed vidyalaya school, score:0.9736842105263158
GSBV NO-2, Gsbv no2, score:0.8888888888888888
Guru nanak khalsa collge for women, Guru nank khalsa college for women, score:0.9411764705882353
Guru nanak khalsa collge for women, Gurunanak khalsa college for women, score:0.9411764705882353
Herman Gminer school, Hermann gmeiner school, score:0.9090909090909091
I .b .(l)public school, I B (L) public school, score:0.8636363636363636
I .b .(l)public school, I b l public school, score:0.8181818181818181
I .b .(l)public school, I. B. L public school, score:0.7727272727272727
I. B. L. Public school, I. B. L. Public. School, score:0.9565217391304348
I. B. L. Public school, I. b( l) public school, score:0.9090909090909091
I. B. L. Public school, I.B.(l) public school, score:0.8636363636363636
I. B. L. Public school, I.B.L PUPLIC SCHOOL, score:0.8181818181818181
I. B. L. Public school, I.B.L Public School, score:0.8636363636363636
I .b .(l)public school, I.b.(L).public school, score:0.8636363636363636
I. B. L. Public school, I.vb.(l) public school, score:0.8636363636363636
I. B. L. Public school, IB(L) public school, score:0.7727272727272727
ID DAV PUBLIC SCHOOL HISAR, ID DAV PUBLIC SCHOOL, HISAR, score:0.962962962962963
IP Hindu Girls' Senior secondary, IP Hindu Girls'Senior secondary school, score:0.7894736842105263
Aps public school, Ibl public school, score:0.8235294117647058
Imperium senior secondary school, Imperium senior secondry school, score:0.96875
INDIRA GHANDI NATIONAL OPEN UNIVERSITY, Indira Gandhi National Open University, score:0.9473684210526316
INDIRA GHANDI NATIONAL OPEN UNIVERSITY, Indrighandi National Open University, score:0.9210526315789473
International Delhi  public school, International Delhi public school, score:0.9705882352941176
International Delhi  public school, International public school, score:0.7941176470588236
J M model public school, J. M. Modal public school, score:0.88
Jammu Sanskriti School, Jammu Sanskriti School, Jammu, score:0.7586206896551724
Jlm Gayatri  Vidya Peeth, Jlm gayatri  Vidya  Peeth, score:0.96
J M model public school, Jm model public school, score:0.9565217391304348
K  C G S V M Inter Collega, K C G S V M Inter College, score:0.9230769230769231
Aps public school, K S Public School, score:0.8823529411764706
A.R.M.S.V.M Inter College, K.C.G.S.V.M.Inter College, score:0.84
Gail DAV public school, K.R DAV Public School, score:0.8181818181818181
Gail DAV public school, K.R. DAV PUBLIC SCHOOL, score:0.8181818181818181
Aps public school, K.S Public School, score:0.8823529411764706
K  C G S V M Inter Collega, K.c.g svm inter college, score:0.7692307692307692
K.V 9 BRD no 3, K.v 9BRD no 3, score:0.9285714285714286
KCG svmic, KCGSVMIC, score:0.8888888888888888
Kali Ram D.A.V Public School, Kali Ram dav public school, score:0.9285714285714286
Kali Ram D.A.V Public School, Kali ram  Dav public school, score:0.8928571428571429
KRDAV Public School Safidon, Kali ram dav public school safidon, score:0.7941176470588236
Kalla nehru public school, Kamal Neharu public school, score:0.8461538461538461
Kalla nehru public school, Kamal Nehru Public School, score:0.88
Kalla nehru public school, Kamla Nehru Public School, score:0.96
Kendriya Vidhyalaya No.1, Kendriya Vidyalaya, score:0.75
Kendriya Vidyalay Dhule, Kendriya Vidyalaya Bhind, score:0.7916666666666666
Kendriya Vidyalaya NO.1 AFS Pune -32, Kendriya Vidyalaya NO.1 AFS pune 32, score:0.9722222222222222
Kendriya VIDYALAYA rajkot, Kendriya Vidyalaya Nagercoil, score:0.75
Kendriya Vidyalaya NO.1 AFS Pune -32, Kendriya Vidyalaya No.1 AFS PUNE, score:0.8888888888888888
KENDRIYA VIDYALAYA SANGATHAN CHENNAI, Kendriya Vidyalaya SANGATHAN, score:0.7777777777777778
Kendriya VIDYALAYA rajkot, Kendriya Vidyalaya Saloh, score:0.84
Kendriya Vidhyalaya No.1, Kendriya Vidyalaya no .1, score:0.9166666666666666
Kendriya vidayala, Kendriya vidhalaya, score:0.8333333333333334
Kendriya vidayala, Kendriya vidhyalaya, score:0.8421052631578947
Kendriya vidayala, Kendriya vidyalay, score:0.8823529411764706
Kendriya Vidhyalaya No.1, Kendriya vidyalay NDA, score:0.7916666666666666
Kendriya vidyalaya CRPF Nagpur, Kendriya vidyalaya anna nagar, score:0.8
Kendriya vidyalaya Pithoragarh, Kendriya vidyalaya annanagar, score:0.7666666666666666
Kendriya vidyalay no 1 colaba mumbai, Kendriya vidyalaya no 3 colaba, score:0.75
Kendriya Vidhyalaya No.1, Kendriya vidyalaya no.1, score:0.9583333333333334
Kendriya Vidhyalaya No.1, Kendriya vidyalaya no.1 afs, score:0.8148148148148149
Kendriya VIDYALAYA rajkot, Kendriya vidyalaya school, score:0.8
Kendriya vidyalaya Bhusawal, Kendriya vidyalaya school bhusawal, score:0.7941176470588236
Kendriya Vidyalay Dhule, Kendriya vidyalaya sehore, score:0.8
Kendriya vidyalay Solapur, Kendriya vidyalaya silchar, score:0.8076923076923077
Kendriya vidhalaya stc bsf chakur, Kendriya vidyalaya stc bsf chakur, score:0.9696969696969697
Kendriya vidyalaya Bhusawal, Kendriya vidyalaya sunjunwan, score:0.75
Bohra public school, Kerala public school, score:0.75
Kerala Public School Burmamines, Kerala public school bumanines, score:0.935483870967742
Krishna Chandra Gandhi SvM inter Colleg, Krishna Chandra Gandhi Svm inter College, score:0.975
Aps public school, Ks public school, score:0.8823529411764706
Kv Annanagar  chennai, Kv Annanagar chennai, score:0.9523809523809523
Kv iip, Kv ipp, score:0.8333333333333334
Gskv school, Kv school, score:0.8181818181818181
KVSPG Dwarka sec 8 New Delhi, Kv spg dwarka sec 8 new delhi school, score:0.7777777777777778
KV DIAT, Kvdiat, score:0.8571428571428572
Kvs 9brd Air force pune, Kvs no 2 Air force pune, score:0.8260869565217391
L.J.T English  Medium  School, L.T. English medium school, score:0.8620689655172413
Late jaikumar tibrewala school, Late jaykumar tibrewala school, score:0.9666666666666667
Lucknow Public School Sitapur, Lucknow Public school, Sitapur, score:0.9666666666666667
M V P Sunrise School, M v.p sunrise school, score:0.95
M V P Sunrise School, M. V. P. Sunrise school, score:0.8695652173913043
M V P Sunrise School, M.V.P'S SUNRISE SCHOOL, score:0.8181818181818181
M V P Sunrise School, M.v.p sunrise school, score:0.9
M V P Sunrise School, M.v.p.sunrise school, score:0.85
M V P Sunrise School, MVP sunrise school, score:0.9
M V P Sunrise School, MVP sunrsie school, score:0.8
M V P Sunrise School, MVP.sanrise school, score:0.8
M V P Sunrise School, MVP.sunrise school, score:0.85
M V P Sunrise School, MVPsunrise school, score:0.85
MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL, Maharaja aggarasain adarsh public school, score:0.975
MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL, Maharaja aggrasain adarsh public school, score:0.9487179487179487
MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL, Maharaja aggressive Adarsh public school, score:0.875
MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL, Maharaja agrasain adarsh public school, score:0.9487179487179487
MAHARAJA AGGARSAIN ADARSH PUBLIC SCHOOL, Maharaja agrasen adarsh public school, score:0.8974358974358975
Mahaveer study estate, Mahavir study state, score:0.8571428571428572
Maheshwari public school, Maheshwari public school ajmer, score:0.8
Maharishi vidya mandir, Mahrshi vidya  mandir, score:0.8636363636363636
Aps public school, Manav Public school, score:0.7894736842105263
Model School Rohtak, Model school Rtk, score:0.8421052631578947
Lalsa international school, Mp international school, score:0.8076923076923077
G.G.S.S school, N.M.S.S.SCHOOL, score:0.7857142857142857
N. St. Matthews Public School, N.St Mathew's Public Scho, score:0.7931034482758621
Aps public school, NSM public school, score:0.8235294117647058
Nand Lal Geeta Vidhy Mandir School, Nand Lal Geeta Vidhya Mandir School, score:0.9714285714285714
Nand Lal Geeta Vidhy Mandir School, Nand lal Geeta Vidya mandir school, score:0.9411764705882353
Nehru Montessori Senior secondary School, Nehru Montessori senior secondary, score:0.825
Nei convent sr. Sec school, Neo Convent Sr. Sec. School, score:0.9259259259259259
Nei convent sr. Sec school, Neo Convent se. Sec school, score:0.9230769230769231
City convent school, Neo convent school, score:0.7894736842105263
Nehru Montessori Senior secondary School, Neo convent senior secondary school, score:0.75
Nei convent sr. Sec school, Neo convent sr sec school, score:0.9230769230769231
New  Saraswati H.S. Vidyalaya sarola, New Saraswati H.S Vidyalaya Sarola, score:0.9444444444444444
New Saraswati H.S School, New Saraswati H.S. School, score:0.96
New  Saraswati H.S. Vidyalaya sarola, New Saraswati H.S. Vidyalaya Sarola, score:0.9722222222222222
New Saraswati higher secondary school, New Saraswati higher secondary school l, score:0.9487179487179487
Nehru Montessori Senior secondary School, New convent senior secondary school, score:0.75
New  Saraswati H.S. Vidyalaya sarola, New sarasvati vuma vidhyalay Sarola, score:0.7777777777777778
New Saraswati H.S School, New saraswati H.S school sarola, score:0.7741935483870968
N. St. Matthews Public School, Nsm Mathews public schools, score:0.7931034482758621
0sdav Public School,Kaithal, OSDAV PUBLIC SCHOOL KAITHAL, score:0.9259259259259259
M.D.N Public School, OSDAV Public School, score:0.7894736842105263
P D.D.S.V.M, P.D.D. s.v.m, score:0.8333333333333334
P D.D.S.V.M, P.D.D.S.V.M, score:0.9090909090909091
P D.S vidya mandir school, P.D.S vidya  mandir school, score:0.9230769230769231
M.D.N Public School, P.d. public school, score:0.8947368421052632
P D.D.S.V.M, P.d.d.s.v.m., score:0.8333333333333334
P/s singchora, P/s singchoura, score:0.9285714285714286
Aps public school, PD PUBLIC SCHOOL, score:0.8823529411764706
Parmeshvari devi dhanuka, Parmeshwari Devi dhanuka, score:0.9583333333333334
Parmeshwari Devi Dhanuka (Vrindavan), Parmeshwari Devidhanuka school vrindavan, score:0.775
Parmeshwari Devi Dhanuka (Vrindavan), Parmeshwari devi dhanuka Saraswati, score:0.75
Lalsa international school, Petals  International school, score:0.8571428571428572
Lalsa international school, Podar International School, score:0.8076923076923077
Prathamik vidyamandir saradwadi sinnar, Prathmik Vidya Mandir sharadwadi Sinnar, score:0.9230769230769231
Prathamik vidyamandir saradwadi sinnar, Prathmik vidya mandir saradwadi sinner, score:0.9210526315789473
Prathmik Vidya Mandir, Prathmik vidya mandir sinnar, score:0.75
Prem dham sarvahitkari vidya mandir, Prem dham sarvhit kari vidya mandir, score:0.9428571428571428
Prem dham sarvahitkari vidya mandir, Premdham sarvhitkari Vidya mandir, score:0.9428571428571428
Prestige public school, Prestige public school indore, score:0.7586206896551724
Purushottam English school, Purushottam English school nashik, score:0.7878787878787878
Aps public school, R K public school, score:0.8235294117647058
R R Geeta bal bharti public, R R Geeta bal bharti public school, score:0.7941176470588236
I. B. L. Public school, R. P. S Public school, score:0.8181818181818181
R R Gita Bal bharti public school, R. R. Gita Bal Bharti Public school, score:0.9428571428571428
Aps public school, R.P.S public school, score:0.8421052631578947
R R Gita Bal bharti public school, R.R Geeta Bal Bharti Public school, score:0.9117647058823529
R R Gita Bal bharti public school, R.R Gita Bal Bharati public school, score:0.9411764705882353
R R Gita Bal bharti public school, R.R Gita bal bharti public school, score:0.9696969696969697
R R Gita Bal bharti public school, R.R geeta balbharti Pulbic School, score:0.8181818181818181
R R Gita Bal bharti public school, R.R gota bal bharti public school, score:0.9393939393939394
R R Gita Bal bharti public school, R.R. Gita Bal Bharti Public School, score:0.9411764705882353
R R Gita Bal bharti public school, R.R.Geeta Bal Bharti Public School, score:0.8823529411764706
R. J. C. B. Girls Highschool, R.j.c.b girls high school, score:0.8214285714285714
Aps public school, R.k public school, score:0.8235294117647058
Aps public school, RK public school, score:0.8235294117647058
Aps public school, RPS public school, score:0.9411764705882353
Ip school, RPS school, score:0.8
R R Gita Bal bharti public school, RR Gita Bal Bharti Public School, score:0.9696969696969697
R R Gita Bal bharti public school, RRGeeta Bal Bharati Public School, score:0.8484848484848485
Radha Krishan Vidya Niketan, Radha Krishna Vidya nikatan, score:0.8888888888888888
Bharti college University of Delhi, Rajdhani College, University of Delhi, score:0.8108108108108107
Ram Krishna Saraswati vidhya niketan, Ram krishana Saraswati Vidhya Niketan, score:0.972972972972973
Rama Pratap pg College, Rana Pratap PG Collage, score:0.9090909090909091
Rana Partap pg college sultanpur, Rana Pratap PG college Sultanpur, score:0.9375
Rama Pratap pg College, Rana Pratap college, score:0.8181818181818181
Rana Partap pg college sultanpur, Rana Pratap p g college sultanpur, score:0.9090909090909091
Rama Pratap pg College, Rana Pratap p.g college, score:0.9130434782608696
Rana Partap pg college sultanpur, Rana Pratap p.g college sultanpur, score:0.9090909090909091
Rana Partap pg college sultanpur, Rana partap p.g college Sultanpur, score:0.9696969696969697
Rana Pratap post graduation college, Rana prataap post Graduation College, score:0.9722222222222222
Rama Pratap pg College, Rana pratap pg college, score:0.9545454545454546
Rana Partap pg college sultanpur, Rana pratap pg college sultanpur up, score:0.8571428571428572
